OBJECTID,SERVICE_DIST,SHAPEAREA,SHAPELEN,SERVICE_DIST_clean,Neighborhood,Total_Trees_Planted,Total_Grass_Planted__Hectares_,Total_Cool_Paving__Hectacres_,Total_New_Cool_Roofs,Neighborhood_clean,Total_Trees_Planted_norm,Total_Grass_Planted__Hectares__norm,Total_Cool_Paving__Hectacres__norm,Total_New_Cool_Roofs_norm,cooling_index,Foreclosure_Count,Geo_Match_Name
1,IN,1844179639.45817,486828.21716228104,in,Hurstbourne Acres,1481,7,54,99,hurstbourne acres,0.01088546375309622,0.004801097393689987,0.00980748274609517,0.012228260869565218,0.009430576190611648,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Industrial East,3148,9,62,588,industrial east,0.023138041792536732,0.006172839506172839,0.011260443152924083,0.07262845849802371,0.02829994573741434,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Industrial West,3974,66,177,494,industrial west,0.02920920523619472,0.04526748971193416,0.03214674900108972,0.061017786561264824,0.04191030762762086,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Irish Hill,1464,4,30,73,irish hill,0.010760512447355075,0.0027434842249657062,0.005448601525608427,0.009016798418972332,0.006992349154225385,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Iroquois,808,4,15,10,iroquois,0.005938862061108539,0.0027434842249657062,0.0027243007628042137,0.0012351778656126482,0.003160456228622777,2.0,in
1,IN,1844179639.45817,486828.21716228104,in,Iroquois Park,1016,6,29,9,iroquois park,0.007467678037235489,0.00411522633744856,0.005266981474754813,0.0011116600790513835,0.004490386482122561,1.0,in
1,IN,1844179639.45817,486828.21716228104,in,Jacobs ,1787,10,52,58,jacobs,0.01313458725643683,0.006858710562414266,0.00944424264438794,0.00716403162055336,0.009150393020948099,14.0,in
1,IN,1844179639.45817,486828.21716228104,in,Jeffersontown,15076,101,581,1498,jeffersontown,0.1108097579619707,0.06927297668038408,0.10552124954594987,0.1850296442687747,0.11765840711426984,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Kenwood Hill,305,2,8,12,kenwood hill,0.002241773426532307,0.0013717421124828531,0.001452960406828914,0.0014822134387351778,0.001637172346144813,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Klondike,1844,12,44,24,klondike,0.01355354163451008,0.00823045267489712,0.007991282237559027,0.0029644268774703555,0.008184925856109146,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Meadow Vale,783,2,16,28,meadow vale,0.005755110140900972,0.0013717421124828531,0.002905920813657828,0.003458498023715415,0.003372817772689267,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Meadowbrook Farm,210,2,8,1,meadowbrook farm,0.0015435161297435557,0.0013717421124828531,0.001452960406828914,0.00012351778656126481,0.001122934108904147,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Merriwether,323,2,10,18,merriwether,0.002374074809081755,0.0013717421124828531,0.0018162005085361425,0.002223320158102767,0.0019463343970508795,7.0,in
1,IN,1844179639.45817,486828.21716228104,in,Middletown,6176,34,201,348,middletown,0.045394074368077145,0.023319615912208505,0.03650563022157646,0.04298418972332016,0.03705087755629557,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Moorland,138,1,5,0,moorland,0.0010143105995457653,0.0006858710562414266,0.0009081002542680712,0.0,0.0006520704775138157,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Murray Hill,57,1,3,0,murray hill,0.00041895437807325085,0.0006858710562414266,0.0005448601525608427,0.0,0.00041242139671888,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Newburg,10070,46,256,519,newburg,0.07401527345960765,0.03155006858710562,0.04649473301852525,0.06410573122529645,0.05404145157263374,4.0,in
1,IN,1844179639.45817,486828.21716228104,in,Northfield,492,3,14,21,northfield,0.003616237789684902,0.00205761316872428,0.0025426807119505995,0.0025938735177865615,0.0027026012970365857,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Norwood,360,2,16,30,norwood,0.002646027650988953,0.0013717421124828531,0.002905920813657828,0.0037055335968379445,0.0026573060434918945,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Okolona,12936,83,404,701,okolona,0.09508059359220304,0.05692729766803841,0.07337450054486015,0.08658596837944664,0.07799209004613707,5.0,in
1,IN,1844179639.45817,486828.21716228104,in,Old Brownsboro Place,82,1,4,0,old brownsboro place,0.000602706298280817,0.0006858710562414266,0.000726480203414457,0.0,0.0005037643894841751,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Old Louisville ,7348,15,154,517,old louisville,0.054008364387407845,0.0102880658436214,0.027969487831456592,0.06385869565217392,0.039031153428664936,11.0,in
1,IN,1844179639.45817,486828.21716228104,in,Park Duvalle,2700,12,76,98,park duvalle,0.019845207382417147,0.00823045267489712,0.013803123864874683,0.012104743083003952,0.013495881751298226,35.0,in
1,IN,1844179639.45817,486828.21716228104,in,Park Hill,2295,9,59,331,park hill,0.016868426275054575,0.006172839506172839,0.01071558300036324,0.040884387351778656,0.01866030903334233,141.0,in
1,IN,1844179639.45817,486828.21716228104,in,Parkland,3397,12,66,210,parkland,0.02496821091780409,0.00823045267489712,0.01198692335633854,0.025938735177865612,0.01778108053172634,100.0,in
1,IN,1844179639.45817,486828.21716228104,in,Phoenix Hill ,3101,3,48,173,phoenix hill,0.022792588182546508,0.00205761316872428,0.008717762440973484,0.021368577075098816,0.013734135216835773,7.0,in
1,IN,1844179639.45817,486828.21716228104,in,Plantation,145,1,5,0,plantation,0.0010657611372038838,0.0006858710562414266,0.0009081002542680712,0.0,0.0006649331119283454,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Poplar Hills,57,1,4,11,poplar hills,0.00041895437807325085,0.0006858710562414266,0.000726480203414457,0.001358695652173913,0.0007975003224757618,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Poplar Level,2762,15,82,139,poplar level,0.02030091214453191,0.0102880658436214,0.014892844169996368,0.017168972332015812,0.015662698622541372,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Portland,8677,38,230,473,portland,0.06377661646564206,0.02606310013717421,0.04177261169633127,0.058423913043478264,0.04750906033565645,311.0,in
1,IN,1844179639.45817,486828.21716228104,in,Prestonia,234,3,21,35,prestonia,0.0017199179731428194,0.00205761316872428,0.003814021067925899,0.004323122529644269,0.002978668684859317,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Prospect,2144,27,94,44,prospect,0.015758564677000875,0.018518518518518517,0.017072284780239737,0.005434782608695652,0.014196037646113695,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Riverwood,161,1,7,0,riverwood,0.001183362366136726,0.0006858710562414266,0.0012713403559752997,0.0,0.0007851434445883631,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Rockcreek Lexington Road,3593,12,70,93,rockcreek lexington road,0.02640882597223141,0.00823045267489712,0.012713403559752997,0.011487154150197628,0.014709959089269788,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Rolling Hills ,178,2,8,6,rolling hills,0.0013083136718778712,0.0013717421124828531,0.001452960406828914,0.0007411067193675889,0.0012185307276393069,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Russell,5415,11,103,302,russell,0.039800665916958834,0.0075445816186556925,0.01870686523792227,0.037302371541501976,0.025838621078759692,354.0,in
1,IN,1844179639.45817,486828.21716228104,in,Saint Joseph,3199,6,52,83,saint joseph,0.023512895709760166,0.00411522633744856,0.00944424264438794,0.01025197628458498,0.01183108524404541,3.0,in
1,IN,1844179639.45817,486828.21716228104,in,Saint Matthews,8454,30,216,431,saint matthews,0.062137549337390574,0.0205761316872428,0.03922993098438068,0.053236166007905136,0.0437949445042298,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Schnitzelburg,2531,9,51,55,schnitzelburg,0.018603044401813998,0.006172839506172839,0.009262622593534326,0.006793478260869565,0.010207996190597682,1.0,in
1,IN,1844179639.45817,486828.21716228104,in,Shawnee,5325,21,113,103,shawnee,0.039139159004211596,0.01440329218106996,0.02052306574645841,0.012722332015810276,0.02169696223688756,116.0,in
1,IN,1844179639.45817,486828.21716228104,in,Shelby Park,1449,3,22,71,shelby park,0.010650261295230536,0.00205761316872428,0.003995641118779513,0.008769762845849802,0.006368319607146032,29.0,in
1,IN,1844179639.45817,486828.21716228104,in,Shively,10316,69,292,539,shively,0.0758233923544501,0.047325102880658436,0.05303305484925536,0.06657608695652174,0.060689409260221414,3.0,in
1,IN,1844179639.45817,486828.21716228104,in,Smoketown Jackson,2411,6,51,137,smoketown jackson,0.01772103518481768,0.00411522633744856,0.009262622593534326,0.01692193675889328,0.012005205218673461,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,South Louisville,2398,5,42,108,south louisville,0.017625484186309746,0.003429355281207133,0.007628042135851798,0.0133399209486166,0.010505700637996319,36.0,in
1,IN,1844179639.45817,486828.21716228104,in,South Park View,55,1,3,7,south park view,0.0004042542244566456,0.0006858710562414266,0.0005448601525608427,0.0008646245059288538,0.0006249024847969422,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Southside,3823,12,86,270,southside,0.028099343638141018,0.00823045267489712,0.015619324373410825,0.033349802371541504,0.021324730764497618,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Spring Mill,711,7,22,11,spring mill,0.005225904610703182,0.004801097393689987,0.003995641118779513,0.001358695652173913,0.0038453346938366485,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Spring Valley,66,1,3,0,spring valley,0.0004851050693479747,0.0006858710562414266,0.0005448601525608427,0.0,0.000428959069537561,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,St. Dennis,2335,29,92,86,st. dennis,0.017162429347386682,0.019890260631001373,0.01670904467853251,0.010622529644268774,0.016096066075297333,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Standiford,164,7,66,35,standiford,0.001205412596561634,0.004801097393689987,0.01198692335633854,0.004323122529644269,0.005579138969058608,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Taylor Berry,6723,20,124,246,taylor berry,0.049414566382218694,0.013717421124828532,0.022520886305848167,0.030385375494071148,0.029009562326741636,15.0,in
1,IN,1844179639.45817,486828.21716228104,in,Ten Broeck,224,2,9,1,ten broeck,0.0016464172050597928,0.0013717421124828531,0.0016345804576825282,0.00012351778656126481,0.0011940643904466098,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Thornhill,0,0,0,0,thornhill,0.0,0.0,0.0,0.0,0.0,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Tyler Park,678,2,14,20,tyler park,0.004983352076029194,0.0013717421124828531,0.0025426807119505995,0.0024703557312252965,0.0028420326579219855,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,University,6895,14,120,319,university,0.05067877959324675,0.009602194787379973,0.02179440610243371,0.03940217391304348,0.03036938859902598,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Valley Station,10230,99,329,328,valley station,0.07519128574893608,0.06790123456790123,0.059752996730839086,0.040513833992094864,0.06083983775994281,1.0,in
1,IN,1844179639.45817,486828.21716228104,in,Watterson Park,6987,14,149,605,watterson park,0.051354986659610594,0.009602194787379973,0.027061387577188522,0.07472826086956522,0.04068670747343608,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,West Buechel,2253,12,78,144,west buechel,0.016559723049105864,0.00823045267489712,0.014166363966581911,0.017786561264822136,0.014185775238851757,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Wilder Park,702,4,28,16,wilder park,0.005159753919428458,0.0027434842249657062,0.005085361423901199,0.001976284584980237,0.0037412210383189004,7.0,in
1,IN,1844179639.45817,486828.21716228104,in,Wildwood,582,1,12,25,wildwood,0.00427774470243214,0.0006858710562414266,0.002179440610243371,0.0030879446640316205,0.0025577502582371397,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Windy Hills,466,6,22,7,windy hills,0.0034251357926690334,0.00411522633744856,0.003995641118779513,0.0008646245059288538,0.0031001569387064903,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Woodland Hills,1029,7,27,36,woodland hills,0.007563229035743423,0.004801097393689987,0.004903741373047585,0.004446640316205534,0.005428677029671633,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Worthington Hills,493,6,18,8,worthington hills,0.003623587866493205,0.00411522633744856,0.0032691609153650564,0.0009881422924901185,0.002999029352949235,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Wyandotte,1271,7,37,22,wyandotte,0.009341947623352664,0.004801097393689987,0.006719941881583727,0.002717391304347826,0.0058950945507435515,17.0,in
1,IN,1844179639.45817,486828.21716228104,in,Remainder of the city,136053,1458,5506,8096,remainder of the city,1.0,1.0,1.0,1.0,1.0,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Airport,3498,29,342,542,airport,0.02571056867544266,0.019890260631001373,0.06211405739193607,0.06694664031620554,0.04366538175364641,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Algonquin,4118,12,87,310,algonquin,0.030267616296590298,0.00823045267489712,0.01580094442426444,0.038290513833992096,0.023147381807435988,38.0,in
1,IN,1844179639.45817,486828.21716228104,in,Anchorage,1488,24,75,46,anchorage,0.010936914290754338,0.01646090534979424,0.013621503814021068,0.005681818181818182,0.011675285409096956,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Auburndale,719,6,23,18,auburndale,0.005284705225169603,0.00411522633744856,0.004177261169633128,0.002223320158102767,0.003950128222588515,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Audubon,1316,6,26,12,audubon,0.009672701079726283,0.00411522633744856,0.00472212132219397,0.0014822134387351778,0.0049980655445259975,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Audubon Park,85,1,4,3,audubon park,0.000624756528705725,0.0006858710562414266,0.000726480203414457,0.00037055335968379444,0.0006019152870113507,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Bancroft,119,1,4,0,bancroft,0.0008746591401880149,0.0006858710562414266,0.000726480203414457,0.0,0.0005717525999609746,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Barbourmeade,489,4,18,7,barbourmeade,0.003594187559259994,0.0027434842249657062,0.0032691609153650564,0.0008646245059288538,0.0026178643013799025,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Bashford Manor,2156,7,44,80,bashford manor,0.015846765598700508,0.004801097393689987,0.007991282237559027,0.009881422924901186,0.009630142038712677,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Beechmont,4738,21,105,143,beechmont,0.03482466391773794,0.01440329218106996,0.019070105339629495,0.017663043478260868,0.021490276229174564,6.0,in
1,IN,1844179639.45817,486828.21716228104,in,Belknap,526,5,22,23,belknap,0.003866140401167192,0.003429355281207133,0.003995641118779513,0.002840909090909091,0.0035330114730157324,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Bellemeade,718,5,25,16,bellemeade,0.005277355148361301,0.003429355281207133,0.004540501271340356,0.001976284584980237,0.003805874071472257,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Blue Ridge Manor,203,2,9,6,blue ridge manor,0.0014920655920854372,0.0013717421124828531,0.0016345804576825282,0.0007411067193675889,0.0013098737204046019,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Bon Air,5349,17,101,138,bon air,0.039315560847610856,0.011659807956104253,0.018343625136215038,0.017045454545454544,0.021591112121346172,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Bonnycastle,1194,4,22,21,bonnycastle,0.00877599170911336,0.0027434842249657062,0.003995641118779513,0.0025938735177865615,0.004527247642661285,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Bowman,2545,17,100,100,bowman,0.018705945477130236,0.011659807956104253,0.018162005085361425,0.012351778656126482,0.015219884293680598,1.0,in
1,IN,1844179639.45817,486828.21716228104,in,Briarwood,514,3,14,27,briarwood,0.0037779394794675604,0.00205761316872428,0.0025426807119505995,0.00333498023715415,0.0029283033993241473,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Brownsboro Farm,277,3,10,1,brownsboro farm,0.002035971275899833,0.00205761316872428,0.0018162005085361425,0.00012351778656126481,0.00150832568493038,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Brownsboro Zorn,1533,11,53,37,brownsboro zorn,0.011267667747127957,0.0075445816186556925,0.009625862695241554,0.004570158102766798,0.008252067540948,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Buechel,4036,26,129,235,buechel,0.029664909998309483,0.01783264746227709,0.023428986560116237,0.029026679841897232,0.02498830596565001,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Butchertown,3606,13,106,291,butchertown,0.026504376970739343,0.008916323731138546,0.01925172539048311,0.035943675889328064,0.022654025495422267,3.0,in
1,IN,1844179639.45817,486828.21716228104,in,California,5298,14,121,462,california,0.038940706930387425,0.009602194787379973,0.021976026153287323,0.057065217391304345,0.031896036315589765,115.0,in
1,IN,1844179639.45817,486828.21716228104,in,Cambridge,23,0,1,0,cambridge,0.00016905176659096088,0.0,0.00018162005085361425,0.0,8.766795436114378e-05,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Camp Taylor,577,4,20,29,camp taylor,0.004240994318390627,0.0027434842249657062,0.003632401017072285,0.00358201581027668,0.0035497238426763244,3.0,in
1,IN,1844179639.45817,486828.21716228104,in,Central Business District,7925,5,139,771,central business district,0.058249358705798476,0.003429355281207133,0.025245187068652378,0.09523221343873518,0.04553902862359829,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Cherokee Gardens,145,2,8,0,cherokee gardens,0.0010657611372038838,0.0013717421124828531,0.001452960406828914,0.0,0.0009726159141289128,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Cherokee Seneca,939,8,34,16,cherokee seneca,0.006901722122996185,0.0054869684499314125,0.006175081729022884,0.001976284584980237,0.00513501422173268,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Cherokee Triangle,3015,9,64,75,cherokee triangle,0.02216048157703248,0.006172839506172839,0.011623683254631312,0.009263833992094862,0.012305209582482874,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Chickasaw,2391,17,77,64,chickasaw,0.017574033648651628,0.011659807956104253,0.013984743915728296,0.007905138339920948,0.01278093096510128,59.0,in
1,IN,1844179639.45817,486828.21716228104,in,Clifton,1811,6,38,104,clifton,0.013310989099836093,0.00411522633744856,0.006901561932437341,0.012845849802371542,0.009293406793023385,3.0,in
1,IN,1844179639.45817,486828.21716228104,in,Clifton Heights,1465,8,48,63,clifton heights,0.010767862524163377,0.0054869684499314125,0.008717762440973484,0.007781620553359684,0.008188553492106988,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Cloverleaf,1674,10,41,40,cloverleaf,0.012304028577098631,0.006858710562414266,0.007446422084998184,0.004940711462450593,0.007887468171740419,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Coldstream,53,1,2,0,coldstream,0.0003895540708400403,0.0006858710562414266,0.0003632401017072285,0.0,0.00035966630719717386,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Creekside,34,1,1,2,creekside,0.00024990261148228997,0.0006858710562414266,0.00018162005085361425,0.00024703557312252963,0.0003411073229249651,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Crescent Hil,4053,24,122,146,crescent hil,0.029789861304050626,0.01646090534979424,0.022157646204140936,0.018033596837944664,0.021610502423982617,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Crossgate,65,1,7,15,crossgate,0.000477754992539672,0.0006858710562414266,0.0012713403559752997,0.0018527667984189723,0.0010719333007938427,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Deer Park,1898,6,29,48,deer park,0.013950445782158424,0.00411522633744856,0.005266981474754813,0.005928853754940711,0.0073153768373256265,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Douglass Hills,4227,30,131,103,douglass hills,0.031068774668695287,0.0205761316872428,0.023792226661823464,0.012722332015810276,0.022039866258392958,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Edgewood,2203,16,81,107,edgewood,0.016192219208690732,0.010973936899862825,0.014711224119142753,0.013216403162055336,0.013773445847437912,1.0,in
1,IN,1844179639.45817,486828.21716228104,in,Fairdale,3555,57,153,204,fairdale,0.02612952305351591,0.03909465020576132,0.02778786778060298,0.025197628458498024,0.02955241737459456,2.0,in
1,IN,1844179639.45817,486828.21716228104,in,Fairgrounds,6586,15,154,437,fairgrounds,0.04840760585948123,0.0102880658436214,0.027969487831456592,0.05397727272727273,0.03516060806545799,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Fern Creek,4831,51,182,142,fern creek,0.03550822106091009,0.03497942386831276,0.033054849255357795,0.017539525691699604,0.03027050496907006,1.0,in
1,IN,1844179639.45817,486828.21716228104,in,Fincastle,184,3,8,3,fincastle,0.001352414132727687,0.00205761316872428,0.001452960406828914,0.00037055335968379444,0.0013083852669911688,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Forest Hills,2541,4,39,101,forest hills,0.018676545169897026,0.0027434842249657062,0.007083181983290956,0.012475296442687748,0.010244626955210358,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Germantown,2202,8,42,70,germantown,0.01618486913188243,0.0054869684499314125,0.007628042135851798,0.008646245059288538,0.009486531194238545,10.0,in
1,IN,1844179639.45817,486828.21716228104,in,Glenview,550,4,26,3,glenview,0.004042542244566455,0.0027434842249657062,0.00472212132219397,0.00037055335968379444,0.0029696752878524816,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Glenview Hills,130,1,6,0,glenview hills,0.000955509985079344,0.0006858710562414266,0.0010897203051216855,0.0,0.000682775336610614,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Glenview Manor,645,3,14,18,glenview manor,0.004740799541355208,0.00205761316872428,0.0025426807119505995,0.002223320158102767,0.0028911033950332135,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Goose Creek,105,1,5,0,goose creek,0.0007717580648717779,0.0006858710562414266,0.0009081002542680712,0.0,0.0005914323438453189,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Graymoor-Devondale,2067,14,58,70,graymoor-devondale,0.01519260876276157,0.009602194787379973,0.010533962949509626,0.008646245059288538,0.010993752889734927,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Green Spring,200,2,9,0,green spring,0.0014700153616605293,0.0013717421124828531,0.0016345804576825282,0.0,0.0011190844829564776,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Hawthorne,956,9,45,33,hawthorne,0.00702667342873733,0.006172839506172839,0.00817290228841264,0.004076086956521739,0.006362125544961138,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Hayfield Dundee,1436,8,45,35,hayfield dundee,0.010554710296722601,0.0054869684499314125,0.00817290228841264,0.004323122529644269,0.00713442589117773,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Hazelwood,1857,10,42,59,hazelwood,0.013649092633018015,0.006858710562414266,0.007628042135851798,0.007287549407114625,0.008855848684599675,7.0,in
1,IN,1844179639.45817,486828.21716228104,in,Heritage Creek,316,3,11,1,heritage creek,0.0023226242714236363,0.00205761316872428,0.0019978205593897567,0.00012351778656126481,0.0016253939465247346,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Hickory Hill,9,0,0,0,hickory hill,6.615069127472382e-05,0.0,0.0,0.0,1.6537672818680955e-05,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Highland Park,1073,6,47,87,highland park,0.00788663241530874,0.00411522633744856,0.008536142390119869,0.01074604743083004,0.007821012143426802,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Higlands ,1031,3,16,22,higlands,0.007577929189360029,0.00205761316872428,0.002905920813657828,0.002717391304347826,0.0038147136190224908,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Highlands Douglas,2208,6,38,47,highlands douglas,0.016228969592732245,0.00411522633744856,0.006901561932437341,0.005805335968379447,0.008262773457749398,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Highview,6702,87,285,307,highview,0.04926021476924434,0.059670781893004114,0.051761714493280056,0.037919960474308304,0.0496531679074592,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Hikes Point,3545,14,78,97,hikes point,0.026056022285432884,0.009602194787379973,0.014166363966581911,0.011981225296442688,0.015451451583959365,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Hills And Dales ,60,1,3,0,hills and dales,0.0004410046084981588,0.0006858710562414266,0.0005448601525608427,0.0,0.000417933954325107,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Hollow Creek,502,7,19,9,hollow creek,0.0036897385577679288,0.004801097393689987,0.0034507809662186707,0.0011116600790513835,0.0032633192491819925,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Hollyvilla,144,3,10,9,hollyvilla,0.001058411060395581,0.00205761316872428,0.0018162005085361425,0.0011116600790513835,0.0015109712041768467,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Houston Acres,37,1,1,1,houston acres,0.00027195284190719793,0.0006858710562414266,0.00018162005085361425,0.00012351778656126481,0.0003157404338908759,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Hurstbourne,3832,18,93,66,hurstbourne,0.028165494329415744,0.012345679012345678,0.016890664729386124,0.008152173913043478,0.016388502996047754,0.0,in
